user_id,track_slug,subscription_date
36338,Spoken_eng_hindi,09-06-2021
36414,APPSC,09-06-2021
38173,GATE_Civil,09-06-2021
38173,GATE_Electronics,18-06-2021
38599,Spoken_eng_hindi,09-06-2021
38705,TSPSC,14-06-2021
38705,spoken-english,14-06-2021
38705,BANK-INS,09-06-2021
38705,APPSC,14-06-2021
38705,rrb,14-06-2021
39414,TNPSC,09-06-2021
39551,kerala-psc,10-06-2021
39551,KPSC_Driver,09-06-2021
39651,spoken-english,14-06-2021
39651,Eng_Inver_Coc,09-06-2021
40853,kerala-psc,10-06-2021
40853,Civil_Tech,09-06-2021
41094,TNPSC,09-06-2021
41243,spoken-english,10-06-2021
41243,TNPSC,09-06-2021
41527,BANK-INS,09-06-2021
41706,kerala-psc,09-06-2021
41928,TNPSC,09-06-2021
42048,Spoken_eng_hindi,09-06-2021
42095,spoken-english,09-06-2021
43004,TNPSC,10-06-2021
43158,kerala-psc,10-06-2021
43511,Spoken_eng_hindi,10-06-2021
43836,PET,10-06-2021
45214,spoken-english,10-06-2021
45214,Anb_eng,11-06-2021
45750,BANK-INS,10-06-2021
45989,Spoken_eng_hindi,10-06-2021
46198,PET,14-06-2021
46198,rrb,10-06-2021
46198,Tet,14-06-2021
46309,Eng_Inver_Coc,10-06-2021
46558,Spoken_eng_hindi,10-06-2021
46605,kerala-psc,10-06-2021
46605,GATE_Civil,11-06-2021
46605,Civil_Tech,11-06-2021
46821,TNPSC,10-06-2021
46976,TNPSC,10-06-2021
46976,Anb_eng,10-06-2021
46976,ssc,10-06-2021
47744,Spoken_eng_hindi,10-06-2021
47954,Spoken_eng_hindi,10-06-2021
47998,kerala-psc,10-06-2021
48295,TNPSC,10-06-2021
48413,TNPSC,10-06-2021
48595,Spoken_eng_hindi,10-06-2021
49995,spoken-english,10-06-2021
50137,TNPSC,10-06-2021
50546,ssc,04-07-2021
51345,spoken-english,11-06-2021
52185,Spoken_eng_hindi,11-06-2021
52416,K_HSA,11-06-2021
52425,GATE_Civil,11-06-2021
52836,Apti_ess,11-06-2021
53372,Eng_With_Awal,11-06-2021
53782,spoken-english,11-06-2021
55112,K_HSA,11-06-2021
55281,Spoken_eng_hindi,11-06-2021
55902,GATE-Electrical,11-06-2021
55902,Apti_ess,11-06-2021
56406,Police_Exams_Special,09-07-2021
56406,ssc,11-06-2021
56741,kerala-psc,11-06-2021
56741,OP_KWA,01-07-2021
56741,KPSC_Driver,11-06-2021
56741,Mech_Tech,12-06-2021
57884,Spoken_eng_hindi,11-06-2021
57927,K_HSA,11-06-2021
59886,Group_2_2A,09-07-2021
59886,TNPSC,12-06-2021
59886,GATE-Electrical,09-07-2021
60166,BANK-INS,12-06-2021
60433,spoken-english,12-06-2021
60441,Spoken_eng_hindi,12-06-2021
60557,TNPSC,12-06-2021
60886,TNPSC,12-06-2021
60886,GATE_Civil,12-06-2021
60964,Spoken_eng_hindi,12-06-2021
60989,K_HSA,12-06-2021
61006,Apti_ess,12-06-2021
61010,Public_Speaking,12-06-2021
61054,Spoken_eng_hindi,12-06-2021
61429,spoken-english,12-06-2021
61783,Eng_Inver_Coc,12-06-2021
61874,cet,12-06-2021
61874,GATE_Civil,08-07-2021
61874,Spoken_eng_hindi,12-06-2021
61952,ssc,12-06-2021
62123,PCB_Tech,17-06-2021
62123,kerala-psc,19-06-2021
62123,Eng_Inver_Coc,12-06-2021
62316,kerala-psc,12-06-2021
62316,KPSC_Driver,29-06-2021
62368,Spoken_eng_hindi,12-06-2021
63137,GATE_Civil,12-06-2021
63154,Apti_ess,12-06-2021
63372,Eng_Inver_Coc,12-06-2021
63748,Spoken_eng_hindi,12-06-2021
66108,spoken-english,12-06-2021
66547,eng_car_success,12-06-2021
68264,Eng_Inver_Coc,13-06-2021
68288,spoken-english,13-06-2021
68288,SE_Junior,17-06-2021
68292,Spoken_eng_hindi,13-06-2021
68866,APPSC,13-06-2021
69176,spoken-english,20-06-2021
69176,Tet,13-06-2021
69238,spoken-english,13-06-2021
69406,K_HSA,13-06-2021
69508,kerala-psc,13-06-2021
69676,kerala-psc,13-06-2021
69676,OP_KWA,26-06-2021
69676,Mech_Tech,13-06-2021
70041,kerala-psc,13-06-2021
72073,spoken-english,13-06-2021
72484,rrb,15-06-2021
72616,TSPSC,13-06-2021
72616,Group_1,13-06-2021
72616,eng_car_success,16-06-2021
72616,spoken-english,15-06-2021
72616,APPSC,30-06-2021
72616,Youtube_telugu,14-06-2021
72616,rrb,30-06-2021
72616,Tet,16-06-2021
73700,EEE,16-06-2021
73700,Eng_Inver_Coc,13-06-2021
74229,BANK-INS,13-06-2021
75090,kerala-psc,13-06-2021
77037,KPSC_Driver,14-06-2021
77261,Spoken_eng_hindi,14-06-2021
77561,Spoken_eng_hindi,14-06-2021
78096,spoken-english,14-06-2021
78409,spoken-english,17-06-2021
78409,TNPSC,14-06-2021
78626,eng_car_success,14-06-2021
78626,spoken-english,14-06-2021
78626,Public_Speaking,14-06-2021
78626,GATE_Electronics,14-06-2021
78626,Fin_Acc,14-06-2021
78626,Apti_ess,15-06-2021
79702,Spoken_eng_hindi,14-06-2021
79713,spoken-english,02-07-2021
79713,kerala-psc,16-06-2021
79713,Digi_Mark,16-06-2021
79713,Apti_ess,14-06-2021
79713,karnataka-psc,23-07-2021
79799,kerala-psc,21-06-2021
79799,KPSC_Driver,14-06-2021
80150,spoken-english,14-06-2021
80150,ssc,14-06-2021
80559,Spoken_eng_hindi,14-06-2021
80603,Spoken_eng_hindi,14-06-2021
81042,Spoken_eng_hindi,14-06-2021
81042,STUH,14-06-2021
81990,kerala-psc,14-06-2021
81990,Eng_Inver_Coc,14-06-2021
82343,kerala-psc,14-06-2021
82343,Civil_Tech,14-06-2021
82343,Mech_Tech,30-06-2021
83016,cet,14-06-2021
83016,Spoken_eng_hindi,14-06-2021
83029,Spoken_eng_hindi,14-06-2021
86603,Eng_Inver_Coc,15-06-2021
87068,Spoken_eng_hindi,02-08-2021
87138,Spoken_eng_hindi,15-06-2021
87284,rrb,06-07-2021
87284,Tet,15-06-2021
87884,kerala-psc,23-06-2021
87884,OP_KWA,23-06-2021
87884,Civil_Tech,15-06-2021
88653,Spoken_eng_hindi,15-06-2021
88846,kerala-psc,15-06-2021
89201,Spoken_eng_hindi,15-06-2021
89213,Civil_Tech,15-06-2021
89386,Spoken_eng_hindi,15-06-2021
89497,Anb_eng,15-06-2021
89497,SE_Junior,16-06-2021
89858,Spoken_eng_hindi,15-06-2021
90187,Eng_Inver_Coc,15-06-2021
90705,kerala-psc,24-06-2021
90705,Civil_Tech,24-06-2021
90705,Staff_Nurse,24-06-2021
90782,spoken-english,16-06-2021
91086,Spoken_eng_hindi,16-06-2021
91932,spoken-english,19-06-2021
91932,kerala-psc,03-07-2021
91932,Eng_Inver_Coc,16-06-2021
92058,kerala-psc,16-06-2021
92058,NET,16-06-2021
92058,ssc,16-06-2021
92432,Spoken_eng_hindi,16-06-2021
92982,Spoken_eng_hindi,16-06-2021
93475,BANK-INS,16-06-2021
93475,cet,16-06-2021
93774,ssc,16-06-2021
94673,spoken-english,16-06-2021
94673,kerala-psc,25-06-2021
94673,Eng_Inver_Coc,25-06-2021
95712,Spoken_eng_hindi,16-06-2021
96172,Spoken_eng_hindi,16-06-2021
96308,spoken-english,16-06-2021
96798,spoken-english,22-06-2021
96798,KTET,16-06-2021
96798,ssc,16-06-2021
96887,Spoken_eng_hindi,16-06-2021
97220,Spoken_eng_hindi,16-06-2021
97285,Group_2_2A,08-07-2021
97285,TNPSC,16-06-2021
98718,BANK-INS,16-06-2021
98764,Public_Speaking,16-06-2021
