user_uid,date_joined,date_of_first_purhcase
78626,14-06-2021,
79702,14-06-2021,14-06-2021
79713,14-06-2021,01-07-2021
79799,14-06-2021,21-06-2021
80150,14-06-2021,
80559,14-06-2021,19-06-2021
80603,14-06-2021,19-07-2021
81042,14-06-2021,15-06-2021
81990,14-06-2021,15-06-2021
82343,14-06-2021,29-06-2021
83016,14-06-2021,
83029,14-06-2021,14-06-2021
85028,15-06-2021,
86603,15-06-2021,16-06-2021
87068,15-06-2021,02-08-2021
87138,15-06-2021,15-06-2021
87284,15-06-2021,07-07-2021
87884,15-06-2021,22-06-2021
88653,15-06-2021,15-06-2021
88846,15-06-2021,
89201,15-06-2021,15-06-2021
89213,15-06-2021,14-06-2021
89386,15-06-2021,15-06-2021
89497,15-06-2021,
89858,15-06-2021,15-06-2021
90187,15-06-2021,15-06-2021
90705,16-06-2021,
90782,16-06-2021,
91086,16-06-2021,16-06-2021
91932,16-06-2021,15-06-2021
92058,16-06-2021,16-06-2021
92432,16-06-2021,22-06-2021
92982,16-06-2021,
93475,16-06-2021,
93774,16-06-2021,
94673,16-06-2021,15-06-2021
95712,16-06-2021,16-06-2021
96172,16-06-2021,16-06-2021
96308,16-06-2021,
96798,16-06-2021,
96887,16-06-2021,15-06-2021
97220,16-06-2021,19-06-2021
97285,16-06-2021,20-06-2021
98718,16-06-2021,17-07-2021
98764,16-06-2021,
99595,17-06-2021,18-06-2021
100171,17-06-2021,08-07-2021
101988,17-06-2021,
102410,17-06-2021,17-06-2021
102498,17-06-2021,
103374,17-06-2021,19-07-2021
103915,17-06-2021,
104394,17-06-2021,18-06-2021
104609,17-06-2021,25-06-2021
104666,17-06-2021,
104979,17-06-2021,17-06-2021
105225,17-06-2021,17-06-2021
105297,17-06-2021,17-06-2021
105377,17-06-2021,18-06-2021
106048,17-06-2021,
106343,17-06-2021,23-06-2021
106394,17-06-2021,
106598,17-06-2021,
106711,18-06-2021,17-06-2021
106963,18-06-2021,18-06-2021
108107,18-06-2021,18-06-2021
108778,18-06-2021,
108923,18-06-2021,
110434,18-06-2021,18-06-2021
110586,18-06-2021,18-06-2021
110896,18-06-2021,
111537,18-06-2021,01-07-2021
111721,18-06-2021,19-06-2021
111765,18-06-2021,22-06-2021
111882,18-06-2021,26-06-2021
111952,18-06-2021,21-06-2021
112250,18-06-2021,18-06-2021
113055,18-06-2021,21-06-2021
113340,18-06-2021,18-06-2021
114837,18-06-2021,10-07-2021
115622,19-06-2021,
115705,19-06-2021,
116092,19-06-2021,19-06-2021
117520,19-06-2021,19-06-2021
118804,19-06-2021,23-06-2021
120235,19-06-2021,
120725,19-06-2021,28-06-2021
121311,19-06-2021,19-06-2021
121434,19-06-2021,19-06-2021
121538,19-06-2021,19-06-2021
121791,19-06-2021,18-06-2021
121949,19-06-2021,
122225,19-06-2021,
122886,20-06-2021,23-06-2021
123027,20-06-2021,12-07-2021
123854,20-06-2021,20-06-2021
124096,20-06-2021,21-06-2021
124499,20-06-2021,
124508,20-06-2021,
125187,20-06-2021,
126073,20-06-2021,
126290,20-06-2021,
126766,20-06-2021,
127049,20-06-2021,
127675,20-06-2021,25-06-2021
127945,20-06-2021,
128150,20-06-2021,20-07-2021
128155,20-06-2021,25-06-2021
128927,20-06-2021,
129193,20-06-2021,20-06-2021
129363,20-06-2021,
129707,20-06-2021,29-06-2021
129986,20-06-2021,09-07-2021
130203,21-06-2021,
131167,21-06-2021,
132110,21-06-2021,
132548,21-06-2021,
134461,21-06-2021,
134886,21-06-2021,25-06-2021
135474,21-06-2021,
135754,21-06-2021,
135896,21-06-2021,21-06-2021
136202,21-06-2021,25-06-2021
136592,21-06-2021,21-06-2021
136944,22-06-2021,04-07-2021
136976,22-06-2021,
137006,22-06-2021,
137417,22-06-2021,
137700,22-06-2021,
138201,22-06-2021,
138440,22-06-2021,30-06-2021
139408,22-06-2021,27-06-2021
139721,22-06-2021,22-06-2021
140453,22-06-2021,24-06-2021
140697,22-06-2021,21-06-2021
141215,22-06-2021,16-07-2021
141298,22-06-2021,21-06-2021
141525,22-06-2021,26-06-2021
141591,22-06-2021,
141836,22-06-2021,22-06-2021
141844,22-06-2021,25-06-2021
142234,22-06-2021,22-06-2021
142315,22-06-2021,24-06-2021
142885,22-06-2021,22-06-2021
144412,23-06-2021,02-07-2021
144649,23-06-2021,23-06-2021
144826,23-06-2021,27-06-2021
145199,23-06-2021,
145829,23-06-2021,23-06-2021
146028,23-06-2021,23-06-2021
146116,23-06-2021,
146428,23-06-2021,
147198,23-06-2021,23-06-2021
147358,23-06-2021,23-06-2021
147750,23-06-2021,23-06-2021
147964,23-06-2021,23-06-2021
148271,24-06-2021,25-06-2021
148303,24-06-2021,27-06-2021
149264,24-06-2021,
149419,24-06-2021,25-07-2021
149670,24-06-2021,
149901,24-06-2021,13-07-2021
149989,24-06-2021,22-07-2021
150098,24-06-2021,
150634,24-06-2021,24-06-2021
150909,24-06-2021,13-07-2021
151341,24-06-2021,24-06-2021
151840,24-06-2021,24-06-2021
152164,24-06-2021,
152458,24-06-2021,26-06-2021
152621,24-06-2021,
153438,25-06-2021,25-06-2021
153686,25-06-2021,
153799,25-06-2021,24-06-2021
154365,25-06-2021,06-07-2021
154650,25-06-2021,26-06-2021
154668,25-06-2021,25-06-2021
154857,25-06-2021,
154908,25-06-2021,04-07-2021
154944,25-06-2021,
156344,25-06-2021,25-06-2021
156464,25-06-2021,
156724,25-06-2021,25-06-2021
157324,25-06-2021,06-07-2021
157791,25-06-2021,25-06-2021
158909,26-06-2021,
159497,26-06-2021,25-06-2021
159777,26-06-2021,25-06-2021
159948,26-06-2021,26-06-2021
160003,26-06-2021,26-06-2021
160547,26-06-2021,
161143,26-06-2021,30-06-2021
161490,26-06-2021,26-06-2021
161619,26-06-2021,04-07-2021
161864,26-06-2021,
162133,26-06-2021,25-06-2021
162231,26-06-2021,
163179,26-06-2021,26-06-2021
165380,27-06-2021,
165524,27-06-2021,
166466,27-06-2021,
166786,27-06-2021,27-06-2021
166909,27-06-2021,
167432,27-06-2021,27-06-2021
167684,27-06-2021,02-07-2021
168195,27-06-2021,30-06-2021
168337,28-06-2021,30-06-2021
168346,28-06-2021,01-08-2021
168564,28-06-2021,
168857,28-06-2021,
168882,28-06-2021,28-06-2021
168940,28-06-2021,27-06-2021
169264,28-06-2021,
169432,28-06-2021,28-06-2021
169928,28-06-2021,30-06-2021
171072,28-06-2021,01-07-2021
171460,28-06-2021,
171625,28-06-2021,
171663,28-06-2021,25-07-2021
171698,28-06-2021,04-07-2021
171726,28-06-2021,27-06-2021
171826,28-06-2021,28-06-2021
172862,28-06-2021,28-06-2021
172873,28-06-2021,
173408,29-06-2021,
173584,29-06-2021,29-06-2021
173886,29-06-2021,16-07-2021
174164,29-06-2021,14-07-2021
174169,29-06-2021,29-06-2021
174489,29-06-2021,
