user_uid,date_joined,date_of_first_purhcase
392955,30-07-2021,
393071,30-07-2021,30-07-2021
393962,31-07-2021,
394171,31-07-2021,
394493,31-07-2021,31-07-2021
394501,31-07-2021,30-07-2021
394654,31-07-2021,31-07-2021
394742,31-07-2021,31-07-2021
394825,31-07-2021,31-07-2021
394902,31-07-2021,
395084,31-07-2021,
395414,31-07-2021,01-08-2021
395533,31-07-2021,30-07-2021
395756,31-07-2021,30-07-2021
395861,31-07-2021,
396283,31-07-2021,31-07-2021
396335,31-07-2021,31-07-2021
396522,01-08-2021,31-07-2021
396772,01-08-2021,
397309,01-08-2021,01-08-2021
398867,01-08-2021,
399176,01-08-2021,
399226,01-08-2021,01-08-2021
399256,01-08-2021,01-08-2021
399259,01-08-2021,01-08-2021
399353,01-08-2021,01-08-2021
400889,02-08-2021,
400920,02-08-2021,
401567,02-08-2021,
402242,02-08-2021,
402287,02-08-2021,
402379,02-08-2021,
402425,02-08-2021,02-08-2021
402595,02-08-2021,
402741,02-08-2021,
403080,02-08-2021,03-08-2021
403486,02-08-2021,
404095,02-08-2021,01-08-2021
404277,02-08-2021,02-08-2021
404290,02-08-2021,
